gap_id,type,lineage_or_auth_gap_id,risk_tier,classification,priority_rank,recommended_action
nsgap-c9c70c001857,auth_gap,nsgap-c9c70c001857,CRITICAL,role_escalation,22,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7afc594faaf5,auth_gap,nsgap-7afc594faaf5,CRITICAL,role_escalation,23,CRITICAL: verify privilege escalation path and add authorization check
nsgap-781e783c2af5,auth_gap,nsgap-781e783c2af5,CRITICAL,role_escalation,24,CRITICAL: verify privilege escalation path and add authorization check
nsgap-953b1029055d,auth_gap,nsgap-953b1029055d,CRITICAL,role_escalation,25,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c4e16d07362e,auth_gap,nsgap-c4e16d07362e,CRITICAL,role_escalation,26,CRITICAL: verify privilege escalation path and add authorization check
nsgap-15e6d3765603,auth_gap,nsgap-15e6d3765603,CRITICAL,role_escalation,27,CRITICAL: verify privilege escalation path and add authorization check
nsgap-43d7e9caf90a,auth_gap,nsgap-43d7e9caf90a,CRITICAL,role_escalation,28,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0bd5d988ccf1,auth_gap,nsgap-0bd5d988ccf1,CRITICAL,role_escalation,29,CRITICAL: verify privilege escalation path and add authorization check
nsgap-5d69db312d36,auth_gap,nsgap-5d69db312d36,CRITICAL,role_escalation,30,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b8467f07cae6,auth_gap,nsgap-b8467f07cae6,CRITICAL,role_escalation,31,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6efce4ceab0e,auth_gap,nsgap-6efce4ceab0e,CRITICAL,role_escalation,32,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d99dbd16a181,auth_gap,nsgap-d99dbd16a181,CRITICAL,role_escalation,33,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a53037cb7e56,auth_gap,nsgap-a53037cb7e56,CRITICAL,role_escalation,34,CRITICAL: verify privilege escalation path and add authorization check
nsgap-dfc744c4cbb9,auth_gap,nsgap-dfc744c4cbb9,CRITICAL,role_escalation,35,CRITICAL: verify privilege escalation path and add authorization check
nsgap-33aaae7464b3,auth_gap,nsgap-33aaae7464b3,CRITICAL,role_escalation,36,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0d050708a876,auth_gap,nsgap-0d050708a876,CRITICAL,role_escalation,37,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b98b3416d6b0,auth_gap,nsgap-b98b3416d6b0,CRITICAL,role_escalation,38,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0beedb46ef35,auth_gap,nsgap-0beedb46ef35,CRITICAL,role_escalation,39,CRITICAL: verify privilege escalation path and add authorization check
nsgap-cee490387d1b,auth_gap,nsgap-cee490387d1b,CRITICAL,role_escalation,40,CRITICAL: verify privilege escalation path and add authorization check
nsgap-2b83e43207cf,auth_gap,nsgap-2b83e43207cf,CRITICAL,role_escalation,41,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b44573e2c35e,auth_gap,nsgap-b44573e2c35e,CRITICAL,role_escalation,42,CRITICAL: verify privilege escalation path and add authorization check
nsgap-054f5372b51c,auth_gap,nsgap-054f5372b51c,CRITICAL,role_escalation,43,CRITICAL: verify privilege escalation path and add authorization check
nsgap-27b65e857c77,auth_gap,nsgap-27b65e857c77,CRITICAL,role_escalation,44,CRITICAL: verify privilege escalation path and add authorization check
nsgap-bf1b8db68242,auth_gap,nsgap-bf1b8db68242,CRITICAL,role_escalation,45,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7aa41fb09795,auth_gap,nsgap-7aa41fb09795,CRITICAL,role_escalation,46,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a049cd2a53e9,auth_gap,nsgap-a049cd2a53e9,CRITICAL,role_escalation,47,CRITICAL: verify privilege escalation path and add authorization check
nsgap-803afb8583cd,auth_gap,nsgap-803afb8583cd,CRITICAL,role_escalation,48,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6885923479c4,auth_gap,nsgap-6885923479c4,CRITICAL,role_escalation,49,CRITICAL: verify privilege escalation path and add authorization check
nsgap-22fbb9cce74a,auth_gap,nsgap-22fbb9cce74a,CRITICAL,role_escalation,50,CRITICAL: verify privilege escalation path and add authorization check
nsgap-81921c06b4b9,auth_gap,nsgap-81921c06b4b9,CRITICAL,role_escalation,51,CRITICAL: verify privilege escalation path and add authorization check
nsgap-996fa04c5521,auth_gap,nsgap-996fa04c5521,CRITICAL,role_escalation,52,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7b43da20c696,auth_gap,nsgap-7b43da20c696,CRITICAL,role_escalation,53,CRITICAL: verify privilege escalation path and add authorization check
nsgap-71fcafb26a8c,auth_gap,nsgap-71fcafb26a8c,CRITICAL,role_escalation,54,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b1ec955501ac,auth_gap,nsgap-b1ec955501ac,CRITICAL,role_escalation,55,CRITICAL: verify privilege escalation path and add authorization check
nsgap-25335b900946,auth_gap,nsgap-25335b900946,CRITICAL,role_escalation,56,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e71a0d525e00,auth_gap,nsgap-e71a0d525e00,CRITICAL,role_escalation,57,CRITICAL: verify privilege escalation path and add authorization check
nsgap-9970bdeedfda,auth_gap,nsgap-9970bdeedfda,CRITICAL,role_escalation,58,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0008db3751f5,auth_gap,nsgap-0008db3751f5,CRITICAL,role_escalation,59,CRITICAL: verify privilege escalation path and add authorization check
nsgap-53f3fca84412,auth_gap,nsgap-53f3fca84412,CRITICAL,role_escalation,60,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0431b5e10e85,auth_gap,nsgap-0431b5e10e85,CRITICAL,role_escalation,61,CRITICAL: verify privilege escalation path and add authorization check
nsgap-97c51667ff0d,auth_gap,nsgap-97c51667ff0d,CRITICAL,role_escalation,62,CRITICAL: verify privilege escalation path and add authorization check
nsgap-86e64ed6afbd,auth_gap,nsgap-86e64ed6afbd,CRITICAL,role_escalation,63,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d93ca8ac1024,auth_gap,nsgap-d93ca8ac1024,CRITICAL,role_escalation,64,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c9daeb8d9d94,auth_gap,nsgap-c9daeb8d9d94,CRITICAL,role_escalation,65,CRITICAL: verify privilege escalation path and add authorization check
nsgap-fb5f3f0f332e,auth_gap,nsgap-fb5f3f0f332e,CRITICAL,role_escalation,66,CRITICAL: verify privilege escalation path and add authorization check
nsgap-00b01e9d6782,auth_gap,nsgap-00b01e9d6782,CRITICAL,role_escalation,67,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a91cae97107a,auth_gap,nsgap-a91cae97107a,CRITICAL,role_escalation,68,CRITICAL: verify privilege escalation path and add authorization check
nsgap-527b350d27fa,auth_gap,nsgap-527b350d27fa,CRITICAL,role_escalation,69,CRITICAL: verify privilege escalation path and add authorization check
nsgap-ff0437be2a0d,auth_gap,nsgap-ff0437be2a0d,CRITICAL,role_escalation,70,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e8bf06e3bb54,auth_gap,nsgap-e8bf06e3bb54,CRITICAL,role_escalation,71,CRITICAL: verify privilege escalation path and add authorization check
nsgap-ad32b577b273,auth_gap,nsgap-ad32b577b273,CRITICAL,role_escalation,72,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6f3688a46b4e,auth_gap,nsgap-6f3688a46b4e,CRITICAL,role_escalation,73,CRITICAL: verify privilege escalation path and add authorization check
nsgap-85b3eb134b29,auth_gap,nsgap-85b3eb134b29,CRITICAL,role_escalation,74,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d6b6a1d87826,auth_gap,nsgap-d6b6a1d87826,CRITICAL,role_escalation,75,CRITICAL: verify privilege escalation path and add authorization check
nsgap-2483608a6148,auth_gap,nsgap-2483608a6148,CRITICAL,role_escalation,76,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b765543022ee,auth_gap,nsgap-b765543022ee,CRITICAL,role_escalation,77,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c5a1838c0163,auth_gap,nsgap-c5a1838c0163,CRITICAL,role_escalation,78,CRITICAL: verify privilege escalation path and add authorization check
nsgap-b8c7defe79e6,auth_gap,nsgap-b8c7defe79e6,CRITICAL,role_escalation,79,CRITICAL: verify privilege escalation path and add authorization check
nsgap-40d0497eaad8,auth_gap,nsgap-40d0497eaad8,CRITICAL,role_escalation,80,CRITICAL: verify privilege escalation path and add authorization check
nsgap-354cff04f3e9,auth_gap,nsgap-354cff04f3e9,CRITICAL,role_escalation,81,CRITICAL: verify privilege escalation path and add authorization check
nsgap-70ac78fd8862,auth_gap,nsgap-70ac78fd8862,CRITICAL,role_escalation,82,CRITICAL: verify privilege escalation path and add authorization check
nsgap-4153a5d07b62,auth_gap,nsgap-4153a5d07b62,CRITICAL,role_escalation,83,CRITICAL: verify privilege escalation path and add authorization check
nsgap-74a630dfd22d,auth_gap,nsgap-74a630dfd22d,CRITICAL,role_escalation,84,CRITICAL: verify privilege escalation path and add authorization check
nsgap-5769ec4ef3e6,auth_gap,nsgap-5769ec4ef3e6,CRITICAL,role_escalation,85,CRITICAL: verify privilege escalation path and add authorization check
nsgap-456f23556819,auth_gap,nsgap-456f23556819,CRITICAL,role_escalation,86,CRITICAL: verify privilege escalation path and add authorization check
nsgap-890685097264,auth_gap,nsgap-890685097264,CRITICAL,role_escalation,87,CRITICAL: verify privilege escalation path and add authorization check
nsgap-1cc6e8c6c55f,auth_gap,nsgap-1cc6e8c6c55f,CRITICAL,role_escalation,88,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c670d738ca23,auth_gap,nsgap-c670d738ca23,CRITICAL,role_escalation,89,CRITICAL: verify privilege escalation path and add authorization check
nsgap-2bedf56de6a1,auth_gap,nsgap-2bedf56de6a1,CRITICAL,role_escalation,90,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6844409e1c7e,auth_gap,nsgap-6844409e1c7e,CRITICAL,role_escalation,91,CRITICAL: verify privilege escalation path and add authorization check
nsgap-13e2c3f0a5eb,auth_gap,nsgap-13e2c3f0a5eb,CRITICAL,role_escalation,92,CRITICAL: verify privilege escalation path and add authorization check
nsgap-697f53bbfd7c,auth_gap,nsgap-697f53bbfd7c,CRITICAL,role_escalation,93,CRITICAL: verify privilege escalation path and add authorization check
nsgap-698c4e82eab8,auth_gap,nsgap-698c4e82eab8,CRITICAL,role_escalation,94,CRITICAL: verify privilege escalation path and add authorization check
nsgap-9b643fc4e721,auth_gap,nsgap-9b643fc4e721,CRITICAL,role_escalation,95,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a01bc7024134,auth_gap,nsgap-a01bc7024134,CRITICAL,role_escalation,96,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7ca553940deb,auth_gap,nsgap-7ca553940deb,CRITICAL,role_escalation,97,CRITICAL: verify privilege escalation path and add authorization check
nsgap-cd4a87b54dee,auth_gap,nsgap-cd4a87b54dee,CRITICAL,role_escalation,98,CRITICAL: verify privilege escalation path and add authorization check
nsgap-f643caeafa53,auth_gap,nsgap-f643caeafa53,CRITICAL,role_escalation,99,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6ca57633705d,auth_gap,nsgap-6ca57633705d,CRITICAL,role_escalation,100,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7ac29ad0c654,auth_gap,nsgap-7ac29ad0c654,CRITICAL,role_escalation,101,CRITICAL: verify privilege escalation path and add authorization check
nsgap-9a3292484920,auth_gap,nsgap-9a3292484920,CRITICAL,role_escalation,102,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d0ee4e2da236,auth_gap,nsgap-d0ee4e2da236,CRITICAL,role_escalation,103,CRITICAL: verify privilege escalation path and add authorization check
nsgap-11b2294fe6a1,auth_gap,nsgap-11b2294fe6a1,CRITICAL,role_escalation,104,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c51a941edb61,auth_gap,nsgap-c51a941edb61,CRITICAL,role_escalation,105,CRITICAL: verify privilege escalation path and add authorization check
nsgap-1da5c3444254,auth_gap,nsgap-1da5c3444254,CRITICAL,role_escalation,106,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7362dae5eabc,auth_gap,nsgap-7362dae5eabc,CRITICAL,role_escalation,107,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e2ec6ffd8db1,auth_gap,nsgap-e2ec6ffd8db1,CRITICAL,role_escalation,108,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a1809127f746,auth_gap,nsgap-a1809127f746,CRITICAL,role_escalation,109,CRITICAL: verify privilege escalation path and add authorization check
nsgap-f35101864b54,auth_gap,nsgap-f35101864b54,CRITICAL,role_escalation,110,CRITICAL: verify privilege escalation path and add authorization check
nsgap-fc1f608950a9,auth_gap,nsgap-fc1f608950a9,CRITICAL,role_escalation,111,CRITICAL: verify privilege escalation path and add authorization check
nsgap-081afb20a192,auth_gap,nsgap-081afb20a192,CRITICAL,role_escalation,112,CRITICAL: verify privilege escalation path and add authorization check
nsgap-9eb5788eadbc,auth_gap,nsgap-9eb5788eadbc,CRITICAL,role_escalation,113,CRITICAL: verify privilege escalation path and add authorization check
nsgap-acd917571d54,auth_gap,nsgap-acd917571d54,CRITICAL,role_escalation,114,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a4b272e52e87,auth_gap,nsgap-a4b272e52e87,CRITICAL,role_escalation,115,CRITICAL: verify privilege escalation path and add authorization check
nsgap-f1292ea67748,auth_gap,nsgap-f1292ea67748,CRITICAL,role_escalation,116,CRITICAL: verify privilege escalation path and add authorization check
nsgap-2f702a7bd8f2,auth_gap,nsgap-2f702a7bd8f2,CRITICAL,role_escalation,117,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d9873b628aa2,auth_gap,nsgap-d9873b628aa2,CRITICAL,role_escalation,118,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e16de0c23613,auth_gap,nsgap-e16de0c23613,CRITICAL,role_escalation,119,CRITICAL: verify privilege escalation path and add authorization check
nsgap-319bc8d16fec,auth_gap,nsgap-319bc8d16fec,CRITICAL,role_escalation,120,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e9f0242f6ce5,auth_gap,nsgap-e9f0242f6ce5,CRITICAL,role_escalation,121,CRITICAL: verify privilege escalation path and add authorization check
nsgap-944c7503efbd,auth_gap,nsgap-944c7503efbd,CRITICAL,role_escalation,122,CRITICAL: verify privilege escalation path and add authorization check
nsgap-36046a4534f1,auth_gap,nsgap-36046a4534f1,CRITICAL,role_escalation,123,CRITICAL: verify privilege escalation path and add authorization check
nsgap-8fd3fec1e419,auth_gap,nsgap-8fd3fec1e419,CRITICAL,role_escalation,124,CRITICAL: verify privilege escalation path and add authorization check
nsgap-5e97f250647a,auth_gap,nsgap-5e97f250647a,CRITICAL,role_escalation,125,CRITICAL: verify privilege escalation path and add authorization check
nsgap-84f5e17fc7ec,auth_gap,nsgap-84f5e17fc7ec,CRITICAL,role_escalation,126,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7ac0859701bf,auth_gap,nsgap-7ac0859701bf,CRITICAL,role_escalation,127,CRITICAL: verify privilege escalation path and add authorization check
nsgap-ff5ca9d6fe95,auth_gap,nsgap-ff5ca9d6fe95,CRITICAL,role_escalation,128,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d1e56fbd8673,auth_gap,nsgap-d1e56fbd8673,CRITICAL,role_escalation,129,CRITICAL: verify privilege escalation path and add authorization check
nsgap-1f1ac729a1d9,auth_gap,nsgap-1f1ac729a1d9,CRITICAL,role_escalation,130,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a7ab389d5216,auth_gap,nsgap-a7ab389d5216,CRITICAL,role_escalation,131,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c98aad218183,auth_gap,nsgap-c98aad218183,CRITICAL,role_escalation,132,CRITICAL: verify privilege escalation path and add authorization check
nsgap-db1be9160a7c,auth_gap,nsgap-db1be9160a7c,CRITICAL,role_escalation,133,CRITICAL: verify privilege escalation path and add authorization check
nsgap-727a0b4ffab3,auth_gap,nsgap-727a0b4ffab3,CRITICAL,role_escalation,134,CRITICAL: verify privilege escalation path and add authorization check
nsgap-724dee608d7f,auth_gap,nsgap-724dee608d7f,CRITICAL,role_escalation,135,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0fc0a094bc75,auth_gap,nsgap-0fc0a094bc75,CRITICAL,role_escalation,136,CRITICAL: verify privilege escalation path and add authorization check
nsgap-33caefe2c4e8,auth_gap,nsgap-33caefe2c4e8,CRITICAL,role_escalation,137,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6df340916727,auth_gap,nsgap-6df340916727,CRITICAL,role_escalation,138,CRITICAL: verify privilege escalation path and add authorization check
nsgap-e54da44c7c3b,auth_gap,nsgap-e54da44c7c3b,CRITICAL,role_escalation,139,CRITICAL: verify privilege escalation path and add authorization check
nsgap-65bb3ecb5c69,auth_gap,nsgap-65bb3ecb5c69,CRITICAL,role_escalation,140,CRITICAL: verify privilege escalation path and add authorization check
nsgap-187ec6ba8a86,auth_gap,nsgap-187ec6ba8a86,CRITICAL,role_escalation,141,CRITICAL: verify privilege escalation path and add authorization check
nsgap-8ef6f56eae34,auth_gap,nsgap-8ef6f56eae34,CRITICAL,role_escalation,142,CRITICAL: verify privilege escalation path and add authorization check
nsgap-ce5464b2a70f,auth_gap,nsgap-ce5464b2a70f,CRITICAL,role_escalation,143,CRITICAL: verify privilege escalation path and add authorization check
nsgap-acd268e36119,auth_gap,nsgap-acd268e36119,CRITICAL,role_escalation,144,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d37d4e39f3f6,auth_gap,nsgap-d37d4e39f3f6,CRITICAL,role_escalation,145,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6f77186a81f1,auth_gap,nsgap-6f77186a81f1,CRITICAL,role_escalation,146,CRITICAL: verify privilege escalation path and add authorization check
nsgap-bc7452439061,auth_gap,nsgap-bc7452439061,CRITICAL,role_escalation,147,CRITICAL: verify privilege escalation path and add authorization check
nsgap-fb746c6869fa,auth_gap,nsgap-fb746c6869fa,CRITICAL,role_escalation,148,CRITICAL: verify privilege escalation path and add authorization check
nsgap-248809f10d45,auth_gap,nsgap-248809f10d45,CRITICAL,role_escalation,149,CRITICAL: verify privilege escalation path and add authorization check
nsgap-7ba15f880d5e,auth_gap,nsgap-7ba15f880d5e,CRITICAL,role_escalation,150,CRITICAL: verify privilege escalation path and add authorization check
nsgap-37257101d188,auth_gap,nsgap-37257101d188,CRITICAL,role_escalation,151,CRITICAL: verify privilege escalation path and add authorization check
nsgap-48bae94e0ad8,auth_gap,nsgap-48bae94e0ad8,CRITICAL,role_escalation,152,CRITICAL: verify privilege escalation path and add authorization check
nsgap-9cf3329c8233,auth_gap,nsgap-9cf3329c8233,CRITICAL,role_escalation,153,CRITICAL: verify privilege escalation path and add authorization check
nsgap-c80d297dcc38,auth_gap,nsgap-c80d297dcc38,CRITICAL,role_escalation,154,CRITICAL: verify privilege escalation path and add authorization check
nsgap-a3fb3877c74e,auth_gap,nsgap-a3fb3877c74e,CRITICAL,role_escalation,155,CRITICAL: verify privilege escalation path and add authorization check
nsgap-f588fe5b5623,auth_gap,nsgap-f588fe5b5623,CRITICAL,role_escalation,156,CRITICAL: verify privilege escalation path and add authorization check
nsgap-893884f67cf7,auth_gap,nsgap-893884f67cf7,CRITICAL,role_escalation,157,CRITICAL: verify privilege escalation path and add authorization check
nsgap-686722b04e88,auth_gap,nsgap-686722b04e88,CRITICAL,role_escalation,158,CRITICAL: verify privilege escalation path and add authorization check
nsgap-5330a92bf5c4,auth_gap,nsgap-5330a92bf5c4,CRITICAL,role_escalation,159,CRITICAL: verify privilege escalation path and add authorization check
nsgap-04a53eb23d94,auth_gap,nsgap-04a53eb23d94,CRITICAL,role_escalation,160,CRITICAL: verify privilege escalation path and add authorization check
nsgap-3b83e3ae488c,auth_gap,nsgap-3b83e3ae488c,CRITICAL,role_escalation,161,CRITICAL: verify privilege escalation path and add authorization check
nsgap-5e4eed1fcbcb,auth_gap,nsgap-5e4eed1fcbcb,CRITICAL,role_escalation,162,CRITICAL: verify privilege escalation path and add authorization check
nsgap-42393b8d43c0,auth_gap,nsgap-42393b8d43c0,CRITICAL,role_escalation,163,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0a2ad3f41c2d,auth_gap,nsgap-0a2ad3f41c2d,CRITICAL,role_escalation,164,CRITICAL: verify privilege escalation path and add authorization check
nsgap-29ad04564f4c,auth_gap,nsgap-29ad04564f4c,CRITICAL,role_escalation,165,CRITICAL: verify privilege escalation path and add authorization check
nsgap-26e93ab86f56,auth_gap,nsgap-26e93ab86f56,CRITICAL,role_escalation,166,CRITICAL: verify privilege escalation path and add authorization check
nsgap-03e0c7fcfd90,auth_gap,nsgap-03e0c7fcfd90,CRITICAL,role_escalation,167,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0c31d00281d8,auth_gap,nsgap-0c31d00281d8,CRITICAL,role_escalation,168,CRITICAL: verify privilege escalation path and add authorization check
nsgap-4f97906bac49,auth_gap,nsgap-4f97906bac49,CRITICAL,role_escalation,169,CRITICAL: verify privilege escalation path and add authorization check
nsgap-f0c353dede0e,auth_gap,nsgap-f0c353dede0e,CRITICAL,role_escalation,170,CRITICAL: verify privilege escalation path and add authorization check
nsgap-18d05db3496f,auth_gap,nsgap-18d05db3496f,CRITICAL,role_escalation,171,CRITICAL: verify privilege escalation path and add authorization check
nsgap-be60de7f6726,auth_gap,nsgap-be60de7f6726,CRITICAL,role_escalation,172,CRITICAL: verify privilege escalation path and add authorization check
nsgap-5fdc80837ca0,auth_gap,nsgap-5fdc80837ca0,CRITICAL,role_escalation,173,CRITICAL: verify privilege escalation path and add authorization check
nsgap-df48c19d8520,auth_gap,nsgap-df48c19d8520,CRITICAL,role_escalation,174,CRITICAL: verify privilege escalation path and add authorization check
nsgap-bc1015dd608a,auth_gap,nsgap-bc1015dd608a,CRITICAL,role_escalation,175,CRITICAL: verify privilege escalation path and add authorization check
nsgap-157eb48d7aa1,auth_gap,nsgap-157eb48d7aa1,CRITICAL,role_escalation,176,CRITICAL: verify privilege escalation path and add authorization check
nsgap-0b7d1fe97016,auth_gap,nsgap-0b7d1fe97016,CRITICAL,role_escalation,177,CRITICAL: verify privilege escalation path and add authorization check
nsgap-4d13d481c3b0,auth_gap,nsgap-4d13d481c3b0,CRITICAL,role_escalation,178,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6a503d60b946,auth_gap,nsgap-6a503d60b946,CRITICAL,role_escalation,179,CRITICAL: verify privilege escalation path and add authorization check
nsgap-8143c57f3319,auth_gap,nsgap-8143c57f3319,CRITICAL,role_escalation,180,CRITICAL: verify privilege escalation path and add authorization check
nsgap-cab9dc95b651,auth_gap,nsgap-cab9dc95b651,CRITICAL,role_escalation,181,CRITICAL: verify privilege escalation path and add authorization check
nsgap-24f2230583da,auth_gap,nsgap-24f2230583da,CRITICAL,role_escalation,182,CRITICAL: verify privilege escalation path and add authorization check
nsgap-fb51985a4ac8,auth_gap,nsgap-fb51985a4ac8,CRITICAL,role_escalation,183,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d1c57de6fe6f,auth_gap,nsgap-d1c57de6fe6f,CRITICAL,role_escalation,184,CRITICAL: verify privilege escalation path and add authorization check
nsgap-40991e64c567,auth_gap,nsgap-40991e64c567,CRITICAL,role_escalation,185,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d02569c51576,auth_gap,nsgap-d02569c51576,CRITICAL,role_escalation,186,CRITICAL: verify privilege escalation path and add authorization check
nsgap-cb8f581724a6,auth_gap,nsgap-cb8f581724a6,CRITICAL,role_escalation,187,CRITICAL: verify privilege escalation path and add authorization check
nsgap-1a289923c467,auth_gap,nsgap-1a289923c467,CRITICAL,role_escalation,188,CRITICAL: verify privilege escalation path and add authorization check
nsgap-d5783ed754f6,auth_gap,nsgap-d5783ed754f6,CRITICAL,role_escalation,189,CRITICAL: verify privilege escalation path and add authorization check
nsgap-dcd6631c0442,auth_gap,nsgap-dcd6631c0442,CRITICAL,role_escalation,190,CRITICAL: verify privilege escalation path and add authorization check
nsgap-9d34f2a3f277,auth_gap,nsgap-9d34f2a3f277,CRITICAL,role_escalation,191,CRITICAL: verify privilege escalation path and add authorization check
nsgap-41d332f03508,auth_gap,nsgap-41d332f03508,CRITICAL,role_escalation,192,CRITICAL: verify privilege escalation path and add authorization check
nsgap-6d296ce4e8db,auth_gap,nsgap-6d296ce4e8db,CRITICAL,role_escalation,193,CRITICAL: verify privilege escalation path and add authorization check
