item_id,item_type,lineage_or_gap_id,evidence_summary,recommended_action,confidence_class,risk_tier,assigned_to
hr-cl-a54af3901,lineage_degraded_evidence,cl-a54af390133a,CONFIRMED taint quote_address.firstname (re-entry) → REST JSON response: totals.firstname; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-aeea51c79,lineage_degraded_evidence,cl-aeea51c79a7e,CONFIRMED taint GuestShippingInformation::addressInformation.shippingAddress.lastname → quote_address.lastname; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-f03c7684c,lineage_degraded_evidence,cl-f03c7684c8eb,CONFIRMED taint quote_address.lastname (re-entry) → REST JSON response: totals.lastname; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-b044f19ee,lineage_degraded_evidence,cl-b044f19ee730,CONFIRMED taint GuestShippingInformation::addressInformation.shippingAddress.street → quote_address.street; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-a0e8fd0d1,lineage_degraded_evidence,cl-a0e8fd0d1ec2,CONFIRMED taint quote_address.street (re-entry) → REST JSON response: totals.street; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-8a90efbea,lineage_degraded_evidence,cl-8a90efbea2a2,CONFIRMED taint GuestShippingInformation::addressInformation.shippingAddress.city → quote_address.city; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-12e6d9a5a,lineage_degraded_evidence,cl-12e6d9a5a86d,CONFIRMED taint quote_address.city (re-entry) → REST JSON response: totals.city; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-117842316,lineage_degraded_evidence,cl-117842316d20,CONFIRMED taint GuestShippingInformation::addressInformation.shippingAddress.email → quote_address.email; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-e5819ce3b,lineage_degraded_evidence,cl-e5819ce3bfa4,CONFIRMED taint quote_address.email (re-entry) → REST JSON response: totals.email; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-ee9a9e6af,lineage_degraded_evidence,cl-ee9a9e6af80c,CONFIRMED taint review_detail.nickname (re-entry) → list.phtml:72: echo escapeHtml($review->getNickname()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-671f221ed,lineage_degraded_evidence,cl-671f221ed8d6,CONFIRMED taint review_detail.title (re-entry) → list.phtml:35: echo escapeHtml($review->getTitle()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-6a24010c9,lineage_degraded_evidence,cl-6a24010c9fc9,CONFIRMED taint review_detail.detail (re-entry) → list.phtml:64: nl2br(escapeHtml($review->getDetail())); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-b0b21de67,lineage_degraded_evidence,cl-b0b21de671fa,CONFIRMED taint /cms/adminhtml/page/save?content → cms_page.content; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-dc3d7b89d,lineage_degraded_evidence,cl-dc3d7b89d1e4,CONFIRMED taint cms_page.content (re-entry) → content.phtml:7: echo /* @noEscape */ $pageData->getPageContent(); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-08d15001f,lineage_needs_confirmation,cl-08d15001f2a9,"CRITICAL taint /catalog/adminhtml/product/save?product[description] → catalog_product_entity_text.description; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-cff285ca8,lineage_needs_confirmation,cl-cff285ca8372,"CRITICAL taint catalog_product_entity_text.description (re-entry) → description.phtml:15: echo /* @noEscape */ $helper->productAttribute(...); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-85a9df3b8,lineage_needs_confirmation,cl-85a9df3b83a5,"CRITICAL taint /catalog/adminhtml/category/save?description → catalog_category_entity_text.description; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-352720633,lineage_needs_confirmation,cl-352720633981,"CRITICAL taint catalog_category_entity_text.description (re-entry) → category/description.phtml:18: echo /* @noEscape */ $helper->categoryAttribute(.; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-b36b7ef69,lineage_needs_confirmation,cl-b36b7ef69276,"CRITICAL taint newsletter_subscriber.subscriber_email (admin re-entry) → newsletter/adminhtml/subscriber/index: JSON grid (escapeHtml in column renderer); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-1877dc50a,lineage_degraded_evidence,cl-1877dc50a00c,CONFIRMED taint review_detail.nickname (admin pending re-entry) → review/adminhtml/product/pending: JSON grid via RequireJS data provider; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-217df9ca6,lineage_needs_confirmation,cl-217df9ca67ea,"CRITICAL taint search_query.query_text (admin term re-entry) → search/adminhtml/term/index: grid column (escapeHtml via Magento UI component); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-6718f2421,lineage_needs_confirmation,cl-6718f2421f14,"CRITICAL taint /customer/account/editPost?firstname → customer_entity.firstname; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-b52afdc96,lineage_needs_confirmation,cl-b52afdc96c9e,"CRITICAL taint customer_entity.firstname (re-entry) → account/dashboard/info.phtml:17: echo escapeHtml($block->getName()); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-513c01f6c,lineage_degraded_evidence,cl-513c01f6c20d,CONFIRMED taint /wishlist/index/add?description → wishlist_item.description; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-db5f70762,lineage_degraded_evidence,cl-db5f707622cc,CONFIRMED taint wishlist_item.description (re-entry) → item/column/comment.phtml:18: echo escapeHtml($item->getDescription()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-486d640fe,lineage_degraded_evidence,cl-486d640fe6ba,CONFIRMED taint review_detail.nickname (customer re-entry) → customer/list.phtml: echo escapeHtml($review->getNickname()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-8016bffca,lineage_needs_confirmation,cl-8016bffca746,"CRITICAL taint newsletter_subscriber.subscriber_email (manage re-entry) → form/newsletter.phtml: subscription form (email NOT rendered as text output); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-b6c1b3d0c,lineage_needs_confirmation,cl-b6c1b3d0c29b,"CRITICAL taint /customer/address/formPost?firstname → customer_address_entity.firstname; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-2bc3ab354,lineage_degraded_evidence,cl-2bc3ab354b38,CONFIRMED taint /checkout/cart/estimatepost?estimate_postcode → quote_address.postcode; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-71fbdeba9,lineage_degraded_evidence,cl-71fbdeba94a2,CONFIRMED taint quote_address.postcode (checkout re-entry) → checkout/index/index: quote_address rendered via DefaultRenderer(html); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-096abc362,lineage_needs_confirmation,cl-096abc362eed,"CRITICAL taint sales_order_address.firstname (order re-entry) → order/info.phtml:18,41: /* @noEscape */ getFormattedAddress() — DefaultRenderer ; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-9f97e0c8b,lineage_degraded_evidence,cl-9f97e0c8bcc3,CONFIRMED taint wishlist_item.description (shared guest re-entry) → item/column/comment.phtml:18: echo escapeHtml($item->getDescription()); verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-b677cdf12,lineage_needs_confirmation,cl-b677cdf12827,"CRITICAL taint /customer/account/createpost?firstname → customer_entity.firstname; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-6d9716574,lineage_needs_confirmation,cl-6d97165746e8,"CRITICAL taint /customer/account/createpost?lastname → customer_entity.lastname; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-18bfdb168,lineage_needs_confirmation,cl-18bfdb168203,"CRITICAL taint /customer/account/createpost?email → customer_entity.email; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-2306c5540,lineage_needs_confirmation,cl-2306c5540162,"CRITICAL taint /catalogsearch/advanced/result?name → search_query.query_text; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-720ea1a47,lineage_needs_confirmation,cl-720ea1a470e6,"CRITICAL taint /catalogsearch/result/index?q → search_query.query_text; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-165dbb013,lineage_needs_confirmation,cl-165dbb013e9e,"CRITICAL taint customer_entity.firstname (admin grid re-entry) → customer/index.phtml: customer grid renders firstname via escapeHtml; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-2cccb3f15,lineage_needs_confirmation,cl-2cccb3f158c9,"CRITICAL taint customer_entity.firstname (admin edit re-entry) → customer/edit/tab/account.phtml: firstname rendered in edit form; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-d664b4f5d,lineage_needs_confirmation,cl-d664b4f5dc18,"CRITICAL taint customer_entity.email (admin edit re-entry) → customer/edit/tab/account.phtml: email rendered in edit form; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-88f05a511,lineage_needs_confirmation,cl-88f05a5114b4,"CRITICAL taint sales_order_address.firstname (order view re-entry) → order/info/billing.phtml: shipping address rendered via escapeHtml; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-d4ad10a90,lineage_needs_confirmation,cl-d4ad10a90c8c,"CRITICAL taint /customer/account/createpost?firstname → checkout/success.phtml: order address rendered via escapeHtml; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-b32edac8d,lineage_needs_confirmation,cl-b32edac8d995,"CRITICAL taint /customer/account/createpost?email → checkout/success.phtml: order email rendered via escapeHtml; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-b9df9858d,lineage_needs_confirmation,cl-b9df9858de03,"CRITICAL taint gift_message.message (cart re-entry) → GiftMessage/inline.phtml: $escaper->escapeHtml(getMessage()->getMessage()); static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-819fece45,lineage_needs_confirmation,cl-819fece45a51,"CRITICAL taint gift_message.sender (cart re-entry) → GiftMessage/inline.phtml: $block->getEscaped(getSender()) in value= attr; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-adb164d77,lineage_needs_confirmation,cl-adb164d77089,"CRITICAL taint gift_message.recipient (cart re-entry) → GiftMessage/inline.phtml: $block->getEscaped(getRecipient()) in value= attr; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-fe8e49b30,lineage_needs_confirmation,cl-fe8e49b30b22,"CRITICAL taint /cms/adminhtml/block/save?content → cms_block.content; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-2ade508d2,lineage_needs_confirmation,cl-2ade508d29ba,"CRITICAL taint /customer/adminhtml/index/save?firstname → customer_entity.firstname; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-afc13edac,lineage_needs_confirmation,cl-afc13edac62c,"CRITICAL taint /customer/adminhtml/index/save?lastname → customer_entity.lastname; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-93790007f,lineage_needs_confirmation,cl-93790007fdfd,"CRITICAL taint /customer/adminhtml/index/save?email → customer_entity.email; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-481d06514,lineage_needs_confirmation,cl-481d065141ab,"CRITICAL taint /newsletter/adminhtml/template/save?template_text → newsletter_template.template_text; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-bb38f6130,lineage_needs_confirmation,cl-bb38f61300f2,"CRITICAL taint /newsletter/adminhtml/template/save?template_subject → newsletter_template.template_subject; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-b549fbb6e,lineage_needs_confirmation,cl-b549fbb6e56e,"CRITICAL taint newsletter_template.template_text (send re-entry) → Newsletter\Model\Queue::sendPerSubscriber: template_text rendered into email bod; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-532d8e3b4,lineage_degraded_evidence,cl-532d8e3b4670,CONFIRMED taint /sales/adminhtml/order/addcomment?comment → sales_order_status_history.comment; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-62911a00a,lineage_degraded_evidence,cl-62911a00a56a,"CONFIRMED taint sales_order_status_history.comment (admin re-entry) → order/view/history.phtml: escapeHtml(getComment(), [b,br,strong,i,u,a]); verified by offline trace only (same data source as Phase 4)",Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-c71bba51d,lineage_degraded_evidence,cl-c71bba51d82e,"CONFIRMED taint sales_order_status_history.comment (frontend re-entry) → order/order_comments.phtml: escapeHtml(getComment(), [b,br,strong,i,u,a]); verified by offline trace only (same data source as Phase 4)",Validate with live replay before treating as exploitable,Observed,CRITICAL,
hr-cl-54e078320,lineage_degraded_evidence,cl-54e0783202e5,CONFIRMED taint /wishlist/index/send?emails → Wishlist email: message and recipient email sent via TransportBuilder; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-699a0a7eb,lineage_degraded_evidence,cl-699a0a7eb897,CONFIRMED taint /wishlist/index/send?message → Wishlist email: message and recipient email sent via TransportBuilder; verified by offline trace only (same data source as Phase 4),Validate with live replay before treating as exploitable,Observed,HIGH,
hr-cl-56723ef8e,lineage_needs_confirmation,cl-56723ef8e3fb,"CRITICAL taint /checkout/adminhtml/agreement/save?content → checkout_agreement.content; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-15f21742d,lineage_needs_confirmation,cl-15f21742d993,"CRITICAL taint checkout_agreement.content (checkout re-entry) → checkout/index/index: agreement content rendered raw in modal (admin-trusted HTM; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-6884f9923,lineage_needs_confirmation,cl-6884f99231a9,"CRITICAL taint /search/adminhtml/term/save?query_text → search_query.query_text; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-cl-8d221cbcc,lineage_needs_confirmation,cl-8d221cbcc169,"CRITICAL taint /search/adminhtml/term/save?redirect → search_query.redirect_url; static analysis only, no runtime trace",Schedule live replay; treat as HIGH risk until confirmed,Correlated,CRITICAL,
hr-nsgap-770237,auth_gap_medium,nsgap-7702371fdba2,MEDIUM auth gap (no_guard) on route '/graphql/description'. See Phase 9 gap_backlog.csv for full list.,Review all MEDIUM/no_guard gaps in gap_backlog.csv; apply fix pattern from CRITICAL/no_guard fixes,Inferred,MEDIUM,
hr-nsgap-7340c8,auth_gap_medium,nsgap-7340c888c7cd,MEDIUM auth gap (role_escalation) on route '/save/execute'. See Phase 9 gap_backlog.csv for full list.,Review all MEDIUM/role_escalation gaps in gap_backlog.csv; apply fix pattern from CRITICAL/role_escalation fixes,Inferred,MEDIUM,
hr-nsgap-51b62e,auth_gap_medium,nsgap-51b62e56d4ad,MEDIUM auth gap (missing_ownership) on route '/V1/bulk/:bulkUuid/detailed-status'. See Phase 9 gap_backlog.csv for full list.,Review all MEDIUM/missing_ownership gaps in gap_backlog.csv; apply fix pattern from CRITICAL/missing_ownership fixes,Inferred,MEDIUM,
